;inn_organization;count_of_employees;count_trener;count_trener_with_train;count_of_students;count_adult_students;date
0;7312003874;16;15;15;355;5;2023-09-07
1;7321315125;15;14;14;576;40;2023-09-07
2;7328084283;37;35;34;1191;216;2023-09-07
3;7325025843;19;17;17;408;57;2023-09-07
4;7328049578;18;16;14;249;28;2023-09-07
5;7303022535;19;16;15;340;31;2023-09-07
6;7326021111;9;6;6;330;5;2023-09-07
7;7325045656;24;22;22;803;51;2023-09-07
8;7328061085;15;13;13;550;3;2023-09-07
9;7303020672;16;14;13;330;12;2023-09-07
10;МБУ ДО «СШ №9»;13;11;11;306;6;2023-09-07
11;МБУ ДО «СШОР «Юность»;11;10;9;371;4;2023-09-07
12;7329011062;25;24;23;811;9;2023-09-07
13;7329031037;9;8;8;266;124;2023-09-07
14;7302030413;33;29;29;1075;91;2023-09-07
15;7328077744;26;24;24;692;33;2023-09-07
16;7328512267;24;22;22;642;47;2023-09-07
17;7328049592;19;17;17;578;54;2023-09-07
18;7302042874;18;16;16;919;17;2023-09-07
19;7326021129;28;26;25;690;46;2023-09-07
20;7329005439;28;25;24;501;25;2023-09-07
21;7313007060;6;4;4;123;4;2023-09-07
22;7327062216;28;26;20;368;95;2023-09-07
23;7303012865;72;70;70;1464;298;2023-09-07
24;7326053603;22;21;21;421;96;2023-09-07
25;7328084357;13;11;10;232;0;2023-09-07
26;7302032587;11;8;8;235;29;2023-09-07
27;7303020312;33;29;29;498;107;2023-09-07
28;7327040357;15;13;13;284;15;2023-09-07
29;7325034750;20;17;17;414;11;2023-09-07
30;7326054886;22;19;19;474;50;2023-09-07
31;7326011699;19;18;18;585;34;2023-09-07
32;7325099370;23;20;20;603;29;2023-09-07
33;7325088924;14;12;12;314;42;2023-09-07
34;7327030158;21;20;20;473;26;2023-09-07
35;7327080350;31;26;26;243;138;2023-09-07
